20:40:22 [Test worker] INFO  manager.ApplicationManager - Tests starts on FireFox Driver
20:41:09 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[text()=' Log in ']
20:41:25 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[text()=' Log in ']was found
20:41:25 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[text()=' Logout ']
20:41:25 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[text()=' Logout ']was found
20:41:25 [Test worker] INFO  manager.NgListener - Start of test --->test2
20:41:25 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[text()=' Log in ']
20:41:25 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[text()=' Log in ']was found
20:41:25 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: email
20:41:25 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: emailwas found
20:41:26 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: password
20:41:26 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: passwordwas found
20:41:26 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: button[type='submit']
20:41:26 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: button[type='submit']was found
20:41:26 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: .dialog-container
20:41:27 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: .dialog-containerwas found
20:41:27 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: .dialog-container h2
20:41:28 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: .dialog-container h2was found
20:41:28 [Test worker] INFO  manager.NgListener - Success test --->test2
20:41:28 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[text()='Ok']
20:41:28 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[text()='Ok']was found
20:41:28 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[text()='Ok']
20:41:28 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[text()='Ok']was found
20:41:28 [Test worker] INFO  test.TestBase - **********************************
